,precision,recall,f1-score,support
<UNK>,1.0,1.0,1.0,566.0
AOA,1.0,0.6,0.7499999999999999,5.0
AOP,0.0,0.0,0.0,0.0
ASA,0.9649805447470817,0.9841269841269841,0.9744597249508841,252.0
ASP,0.7111111111111111,0.9411764705882353,0.8101265822784811,34.0
AVA,0.4444444444444444,0.5714285714285714,0.5,7.0
AVP,0.2,0.5,0.28571428571428575,2.0
BO,0.0,0.0,0.0,0.0
BS,0.8021390374331551,0.8928571428571429,0.8450704225352113,168.0
BV,0.875,0.5384615384615384,0.6666666666666667,13.0
KN,0.9900497512437811,1.0,0.995,199.0
KO,0.9753086419753086,0.9875,0.9813664596273292,80.0
LB,1.0,1.0,1.0,376.0
LO,1.0,1.0,1.0,103.0
NEE,0.9375,0.9782608695652174,0.9574468085106383,46.0
NM,0.95,0.9743589743589743,0.9620253164556962,39.0
NSE,0.9899497487437185,0.9493975903614458,0.9692496924969249,415.0
NSM,0.99581589958159,1.0,0.9979035639412999,238.0
PA,1.0,1.0,1.0,55.0
PB,1.0,0.975,0.9873417721518987,120.0
PDHEB,0.75,1.0,0.8571428571428571,12.0
PDHENP,1.0,1.0,1.0,7.0
PDMB,1.0,0.9,0.9473684210526316,10.0
PDMP,0.7777777777777778,1.0,0.8750000000000001,7.0
PDMW,0.0,0.0,0.0,1.0
PDOENP,1.0,1.0,1.0,40.0
PDOEW,1.0,1.0,1.0,1.0
PDVEB,0.0,0.0,0.0,1.0
PDVEDP,0.5,1.0,0.6666666666666666,1.0
PDVENP,0.0,0.0,0.0,4.0
PEEB,0.5,1.0,0.6666666666666666,2.0
PEEDP,0.0,0.0,0.0,2.0
PEENP,1.0,1.0,1.0,19.0
PEMB,0.0,0.0,0.0,53.0
PEMP,0.7393364928909952,1.0,0.8501362397820162,156.0
PEMW,1.0,0.6,0.7499999999999999,5.0
PO,1.0,1.0,1.0,15.0
PTEB,0.0,0.0,0.0,5.0
PTEDP,0.6428571428571429,1.0,0.782608695652174,9.0
PTENP,1.0,0.8181818181818182,0.9,22.0
PTMB,0.0,0.0,0.0,3.0
PTMP,0.4,1.0,0.5714285714285715,2.0
PV,0.0,0.0,0.0,0.0
RA,0.875,1.0,0.9333333333333333,7.0
RK,1.0,1.0,1.0,4.0
RL,1.0,1.0,1.0,6.0
RO,0.0,0.0,0.0,1.0
RS,1.0,1.0,1.0,61.0
RV,1.0,0.5,0.6666666666666666,6.0
RWD,1.0,0.8333333333333334,0.9090909090909091,6.0
SVS,0.9583892617449664,0.9986013986013986,0.978082191780822,715.0
THAB,0.6666666666666666,1.0,0.8,14.0
THAO,0.6216216216216216,1.0,0.7666666666666667,23.0
THBO,0.0,0.0,0.0,12.0
THNB,0.0,0.0,0.0,1.0
THPB,1.0,0.75,0.8571428571428571,4.0
THPO,0.0,0.0,0.0,1.0
TRAB,1.0,1.0,1.0,5.0
TRBO,0.5,1.0,0.6666666666666666,1.0
UPD,0.0,0.0,0.0,2.0
UPG,0.0,0.0,0.0,2.0
UPI,0.9870967741935484,1.0,0.9935064935064934,153.0
UPO,0.0,0.0,0.0,25.0
UPS,1.0,1.0,1.0,29.0
UPV,0.8888888888888888,1.0,0.9411764705882353,8.0
UPW,0.5384615384615384,0.16279069767441862,0.25000000000000006,43.0
UXD,1.0,1.0,1.0,3.0
VTHOG,0.8240740740740741,0.960431654676259,0.8870431893687707,278.0
VTHOK,0.7912087912087912,0.9473684210526315,0.8622754491017963,76.0
VTHOO,0.7575757575757576,0.3472222222222222,0.4761904761904762,72.0
VTHOV,1.0,1.0,1.0,1.0
VTHSG,1.0,0.9090909090909091,0.9523809523809523,11.0
VTHSO,1.0,1.0,1.0,11.0
VTUOA,1.0,0.46153846153846156,0.631578947368421,13.0
VTUOM,0.9916666666666667,0.9754098360655737,0.9834710743801653,122.0
VTUOP,0.9117647058823529,1.0,0.9538461538461539,31.0
VUOT,0.9662921348314607,0.9885057471264368,0.9772727272727273,87.0
VVHOG,0.974025974025974,0.9259259259259259,0.949367088607595,81.0
VVHOK,1.0,1.0,1.0,9.0
VVHOO,0.6470588235294118,1.0,0.7857142857142858,11.0
VVUOM,1.0,1.0,1.0,9.0
VVUOP,0.0,0.0,0.0,19.0
ZE,1.0,1.0,1.0,279.0
ZM,1.0,1.0,1.0,256.0
ZPL,0.875,1.0,0.9333333333333333,14.0
ZPR,1.0,0.8571428571428571,0.923076923076923,14.0
accuracy,0.9420032022771749,0.9420032022771749,0.9420032022771749,0.9420032022771749
macro avg,0.6967565380485793,0.7189315281904691,0.6933403752302923,5621.0
weighted avg,0.9252911858077557,0.9420032022771749,0.9295228370524877,5621.0
